idtag,epcRowId,prevsoc,soc,voltage,amper,energy,prevenergy,diffInSec,accDiff,avgDiffInSec,accAvg,offset,scaled
00:B0:52:FF:FF:02,535,61,62,649.7,116.1,129516.5,124422.8,241,6189,203,5765,441,6630
00:B0:52:FF:FF:02,535,62,63,649.9,116.2,134586.4,129516.5,241,6430,208,5973,441,6871
00:B0:52:FF:FF:02,535,63,64,650.2,115.9,139679.2,134586.4,241,6671,203,6176,441,7112
00:B0:52:FF:FF:02,535,64,65,650.4,118.1,144755.9,139679.2,241,6912,210,6386,441,7353
00:B0:52:FF:FF:02,535,65,66,650.4,116.4,148985,144755.9,201,7113,190,6576,441,7554
00:B0:52:FF:FF:02,535,66,67,650.4,116.3,154076.9,148985,241,7354,200,6776,441,7795
00:B0:52:FF:FF:02,535,67,68,650.6,116.3,159150.3,154076.9,241,7595,180,6956,441,8036
00:B0:52:FF:FF:02,535,68,69,650.6,116.9,163379.1,159150.3,201,7796,180,7136,441,8237
00:B0:52:FF:FF:02,535,69,70,650.8,115.9,167626.4,163379.1,201,7997,163,7299,441,8438
00:B0:52:FF:FF:02,535,70,71,651,116,171860.5,167626.4,201,8198,180,7479,441,8639
00:B0:52:FF:FF:02,535,71,72,651.4,115.4,176091,171860.5,201,8399,163,7642,441,8840
00:B0:52:FF:FF:02,535,72,73,651.4,115.8,180326,176091,201,8600,173,7815,441,9041
00:B0:52:FF:FF:02,535,73,74,651.6,116.2,183721.9,180326,160,8760,137,7952,441,9201
00:B0:52:FF:FF:02,535,74,75,651.6,115.9,187126.7,183721.9,161,8921,153,8105,441,9362
00:B0:52:FF:FF:02,535,75,76,651.8,115.7,191365.5,187126.7,201,9122,158,8263,441,9563
00:B0:52:FF:FF:02,535,76,77,652,116,194762.8,191365.5,161,9283,145,8408,441,9724
00:B0:52:FF:FF:02,535,77,78,652.2,115.9,199029.5,194762.8,201,9484,173,8581,441,9925
00:B0:52:FF:FF:02,535,78,79,652.2,115.9,202424.1,199029.5,158,9642,137,8718,441,10083
00:B0:52:FF:FF:02,535,79,80,652.4,115.8,206665,202424.1,201,9843,163,8881,441,10284
00:B0:52:FF:FF:02,535,80,81,652.6,115.4,210061.4,206665,161,10004,147,9028,441,10445
00:B0:52:FF:FF:02,535,81,82,652.9,116.3,213454.1,210061.4,160,10164,145,9173,441,10605
00:B0:52:FF:FF:02,535,82,83,652.9,115.9,216853.2,213454.1,161,10325,128,9301,441,10766
00:B0:52:FF:FF:02,535,83,84,653.1,115.9,219407.9,216853.2,121,10446,128,9429,441,10887
00:B0:52:FF:FF:02,535,84,85,653.3,115.7,221947.2,219407.9,120,10566,135,9564,441,11007
00:B0:52:FF:FF:02,535,85,86,653.5,115.9,225376.4,221947.2,161,10727,130,9694,441,11168
00:B0:52:FF:FF:02,535,86,87,653.7,117.9,228783.1,225376.4,160,10887,137,9831,441,11328
00:B0:52:FF:FF:02,535,87,88,653.9,116.3,231324.6,228783.1,120,11007,125,9956,441,11448
00:B0:52:FF:FF:02,535,88,89,654.1,116.1,234730.8,231324.6,160,11167,148,10104,441,11608
00:B0:52:FF:FF:02,535,89,90,654.3,115.6,238141.8,234730.8,161,11328,145,10249,441,11769
00:B0:52:FF:FF:02,535,90,91,654.7,115.6,241548.6,238141.8,161,11489,138,10387,441,11930
00:B0:52:FF:FF:02,535,91,92,655.1,115.9,244961,241548.6,160,11649,145,10532,441,12090
00:B0:52:FF:FF:02,535,92,93,655.8,116.3,249231.8,244961,201,11850,155,10687,441,12291
00:B0:52:FF:FF:02,535,93,94,656.4,115.9,252667.4,249231.8,161,12011,148,10835,441,12452
00:B0:52:FF:FF:02,557,41,42,643.9,155.6,5572.21,0.02,201,201,200,1675,1474,1675
00:B0:52:FF:FF:02,557,42,43,642.8,93.6,10014.55,5572.21,160,361,190,1865,1474,1835
00:B0:52:FF:FF:02,557,43,44,643.9,125.6,14945.93,10014.55,241,602,203,2068,1474,2076
00:B0:52:FF:FF:02,557,44,45,644.3,125.1,20367.68,14945.93,241,843,208,2276,1474,2317
00:B0:52:FF:FF:02,557,45,46,644.3,125.5,24892.47,20367.68,201,1044,193,2469,1474,2518
00:B0:52:FF:FF:02,557,46,47,644.3,125.6,30341.15,24892.47,241,1285,210,2679,1474,2759
00:B0:52:FF:FF:02,557,47,48,644.3,127.5,34870.58,30341.15,201,1486,200,2879,1474,2960
00:B0:52:FF:FF:02,557,48,49,644.5,125.1,40299.59,34870.58,241,1727,211,3090,1474,3201
00:B0:52:FF:FF:02,557,49,50,644.5,125.5,45745.51,40299.59,241,1968,218,3308,1474,3442
00:B0:52:FF:FF:02,557,50,51,644.7,125.3,50279,45745.51,201,2169,193,3501,1474,3643
00:B0:52:FF:FF:02,557,51,52,644.9,125.3,55711.15,50279,241,2410,210,3711,1474,3884
00:B0:52:FF:FF:02,557,52,53,645.1,125.3,60243.09,55711.15,201,2611,208,3919,1474,4085
00:B0:52:FF:FF:02,557,53,54,645.4,125.1,65696.91,60243.09,241,2852,210,4129,1474,4326
00:B0:52:FF:FF:02,557,54,55,646.2,124.7,71165.12,65696.91,241,3093,208,4337,1474,4567
00:B0:52:FF:FF:02,557,55,56,649.6,125,75718.33,71165.12,201,3294,210,4547,1474,4768
00:B0:52:FF:FF:02,557,56,57,649.6,126.8,81172.87,75718.33,241,3535,193,4740,1474,5009
00:B0:52:FF:FF:02,557,57,58,649.6,125.3,85738.76,81172.87,201,3736,208,4948,1474,5210
00:B0:52:FF:FF:02,557,58,59,649.6,125.4,91206.86,85738.76,241,3977,203,5151,1474,5451
00:B0:52:FF:FF:02,557,59,60,649.6,125.3,96694.7,91206.86,241,4218,210,5361,1474,5692
00:B0:52:FF:FF:02,557,60,61,649.6,125.2,101257.6,96694.7,201,4419,201,5562,1474,5893
00:B0:52:FF:FF:02,557,61,62,649.6,125,106735.3,101257.6,241,4660,203,5765,1474,6134
00:B0:52:FF:FF:02,557,62,63,649.6,125.4,111289.5,106735.3,201,4861,208,5973,1474,6335
00:B0:52:FF:FF:02,557,63,64,649.8,124.1,116768.3,111289.5,241,5102,203,6176,1474,6576
00:B0:52:FF:FF:02,557,64,65,650.4,126.8,122243.8,116768.3,241,5343,210,6386,1474,6817
00:B0:52:FF:FF:02,557,65,66,652.1,153.9,126944.3,122243.8,201,5544,190,6576,1474,7018
00:B0:52:FF:FF:02,557,66,67,652.5,154.1,132529.4,126944.3,200,5744,200,6776,1474,7218
00:B0:52:FF:FF:02,557,67,68,652.7,153.5,135897.1,132529.4,120,5864,180,6956,1474,7338
00:B0:52:FF:FF:02,557,68,69,652.7,153.7,140348.1,135897.1,160,6024,180,7136,1474,7498
00:B0:52:FF:FF:02,557,69,70,652.7,153.8,143714.9,140348.1,120,6144,163,7299,1474,7618
00:B0:52:FF:FF:02,557,70,71,652.9,153.4,148194.8,143714.9,160,6304,180,7479,1474,7778
00:B0:52:FF:FF:02,557,71,72,652.9,153.3,151536,148194.8,120,6424,163,7642,1474,7898
00:B0:52:FF:FF:02,557,72,73,652.9,154.1,156020.2,151536,160,6584,173,7815,1474,8058
00:B0:52:FF:FF:02,557,73,74,652.9,153.7,159362,156020.2,120,6704,137,7952,1474,8178
00:B0:52:FF:FF:02,557,74,75,653.1,153.3,162717.7,159362,120,6824,153,8105,1474,8298
00:B0:52:FF:FF:02,557,75,76,653.1,154.1,167202.7,162717.7,160,6984,158,8263,1474,8458
00:B0:52:FF:FF:02,557,76,77,653.1,152.8,170547.2,167202.7,120,7104,145,8408,1474,8578
00:B0:52:FF:FF:02,557,77,78,653.5,153.6,175034.1,170547.2,160,7264,173,8581,1474,8738
00:B0:52:FF:FF:02,557,78,79,653.5,154,178379.8,175034.1,120,7384,137,8718,1474,8858
00:B0:52:FF:FF:02,557,79,80,653.5,154.5,181754.3,178379.8,120,7504,163,8881,1474,8978
00:B0:52:FF:FF:02,557,80,81,653.8,153.1,186203.1,181754.3,160,7664,147,9028,1474,9138
00:B0:52:FF:FF:02,557,81,82,654,152.6,189566.1,186203.1,120,7784,145,9173,1474,9258
00:B0:52:FF:FF:02,557,82,83,654,153.1,191784.3,189566.1,80,7864,128,9301,1474,9338
00:B0:52:FF:FF:02,557,83,84,654,153,195149.3,191784.3,120,7984,128,9429,1474,9458
00:B0:52:FF:FF:02,557,84,85,654.2,153.1,198486.1,195149.3,120,8104,135,9564,1474,9578
00:B0:52:FF:FF:02,557,85,86,654.4,152.7,201851,198486.1,120,8224,130,9694,1474,9698
00:B0:52:FF:FF:02,557,86,87,654.6,152.4,205189.3,201851,120,8344,137,9831,1474,9818
00:B0:52:FF:FF:02,557,87,88,654.6,153.7,207443.3,205189.3,80,8424,125,9956,1474,9898
00:B0:52:FF:FF:02,557,88,89,654.8,153.1,211898.3,207443.3,161,8585,148,10104,1474,10059
00:B0:52:FF:FF:02,557,89,90,655,153,215267.3,211898.3,120,8705,145,10249,1474,10179
00:B0:52:FF:FF:02,557,90,91,655.4,153.7,218608.9,215267.3,120,8825,138,10387,1474,10299
00:B0:52:FF:FF:02,557,91,92,655.6,153.4,221979.9,218608.9,120,8945,145,10532,1474,10419
00:B0:52:FF:FF:02,557,92,93,656.1,152.7,225323.5,221979.9,120,9065,155,10687,1474,10539
00:B0:52:FF:FF:02,557,93,94,656.3,152.6,229807.9,225323.5,160,9225,148,10835,1474,10699
14:1F:BA:10:7D:66,502,44,45,646.5,152.2,4882.34,34.94,175,175,175,175,0,175
14:1F:BA:10:7D:66,502,45,46,647.3,152.1,9833.52,4882.34,180,355,180,355,0,355
14:1F:BA:10:7D:66,502,46,47,647.5,152.6,15610.55,9833.52,210,565,210,565,0,565
14:1F:BA:10:7D:66,502,47,48,647.3,151.9,20568.53,15610.55,181,746,181,746,0,746
14:1F:BA:10:7D:66,502,48,49,647.5,151.8,25529.23,20568.53,180,926,180,926,0,926
14:1F:BA:10:7D:66,502,49,50,647.7,152.6,31316.29,25529.23,211,1137,211,1137,0,1137
14:1F:BA:10:7D:66,502,50,51,647.7,152.6,35457.71,31316.29,150,1287,150,1287,0,1287
14:1F:BA:10:7D:66,502,51,52,647.9,152.4,41246.14,35457.71,211,1498,211,1498,0,1498
14:1F:BA:10:7D:66,502,52,53,646.3,123.4,46505.98,41246.14,241,1739,241,1739,0,1739
14:1F:BA:10:7D:66,502,53,54,646.7,123,51184.65,46505.98,211,1950,211,1950,0,1950
14:1F:BA:10:7D:66,502,54,55,646.7,124.3,56558.6,51184.65,241,2191,241,2191,0,2191
14:1F:BA:10:7D:66,502,55,56,647.3,123.9,61918.4,56558.6,241,2432,241,2432,0,2432
14:1F:BA:10:7D:66,502,56,57,647.5,123.5,66638.15,61918.4,211,2643,211,2643,0,2643
14:1F:BA:10:7D:66,502,57,58,647.9,125.2,72023.02,66638.15,241,2884,241,2884,0,2884
14:1F:BA:10:7D:66,502,58,59,648.4,123.3,77390.68,72023.02,241,3125,241,3125,0,3125
14:1F:BA:10:7D:66,502,59,60,648.8,123.3,82786.01,77390.68,241,3366,241,3366,0,3366
14:1F:BA:10:7D:66,502,60,61,649.4,125,87492.88,82786.01,211,3577,211,3577,0,3577
14:1F:BA:10:7D:66,502,61,62,650,123.6,92891.96,87492.88,241,3818,241,3818,0,3818
14:1F:BA:10:7D:66,502,62,63,650.7,123.4,98303.65,92891.96,241,4059,241,4059,0,4059
